model,fold,accuracy,precision,recall,f1,f2,mcc
LR,18,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,18,0.8902439024390244,0.8951728606470125,0.8902439024390244,0.8914663674481781,0.8904250038807452,0.7644967544020972
RF,18,0.9024390243902439,0.9050969355847406,0.9024390243902439,0.9032007236142628,0.9026043776309112,0.7878565964383049
LGB,19,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LDA,19,0.9634146341463414,0.9653401797175867,0.9634146341463414,0.962873596099551,0.9628541300252178,0.9197090092274487
LR,19,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
GNB,19,0.9390243902439024,0.9441918147995039,0.9390243902439024,0.9373844076806204,0.9374394350004105,0.8670732267977947
RF,19,0.975609756097561,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LGB,20,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9469987228607918
LDA,20,0.9879518072289156,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LR,20,1.0,1.0,1.0,1.0,1.0,1.0
GNB,20,0.9518072289156626,0.95367574516428,0.9518072289156626,0.9521557929832537,0.951802947397265,0.896884392956702
RF,20,0.9397590361445783,0.9486180014174345,0.9397590361445783,0.9406873912664063,0.9392513450026522,0.8797528866745482
LGB,21,0.927710843373494,0.9275482496788774,0.927710843373494,0.9270175941862687,0.9272910193591821,0.8366862110930773
LDA,21,0.9397590361445783,0.9447791164658633,0.9397590361445783,0.938115633891063,0.9381892649964938,0.867742006863901
LR,21,0.9759036144578314,0.9767491016698373,0.9759036144578314,0.9756725313954229,0.9756590322993434,0.9465674698284022
GNB,21,0.9036144578313253,0.9044993533455858,0.9036144578313253,0.9015982960180803,0.9022554481048801,0.7814727193724296
RF,21,0.9036144578313253,0.9044993533455858,0.9036144578313253,0.9015982960180803,0.9022554481048801,0.7814727193724296
LGB,22,0.9512195121951219,0.9515880461002413,0.9512195121951219,0.9507596288084094,0.9508855238808142,0.890994189963783
LDA,22,0.9146341463414634,0.9244302279088364,0.9146341463414634,0.9111346765641569,0.9114712465764216,0.8148217143826667
LR,22,0.975609756097561,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
GNB,22,0.9146341463414634,0.9141660507514164,0.9146341463414634,0.9142496796110581,0.914444755958351,0.8088416331755686
RF,22,0.9146341463414634,0.9141660507514164,0.9146341463414634,0.9142496796110581,0.914444755958351,0.8088416331755686
LGB,23,0.9390243902439024,0.9430277224973388,0.9390243902439024,0.93970353747121,0.9389678559314074,0.8705690621194779
LDA,23,0.9512195121951219,0.9545836837678723,0.9512195121951219,0.9502144197266149,0.9502141607933898,0.8933250005738372
LR,23,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.8915343915343915
GNB,23,0.9024390243902439,0.9050969355847406,0.9024390243902439,0.9032007236142628,0.9026043776309112,0.7878565964383049
RF,23,0.9146341463414634,0.9156259422060713,0.9146341463414634,0.9149840637609524,0.9147386419684017,0.8120968302168784
LGB,24,0.9634146341463414,0.9669551534225018,0.9634146341463414,0.963822122482726,0.9632392819567388,0.9236052159781682
LDA,24,0.9878048780487805,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,24,1.0,1.0,1.0,1.0,1.0,1.0
GNB,24,0.9634146341463414,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
RF,24,0.9634146341463414,0.9669551534225018,0.9634146341463414,0.963822122482726,0.9632392819567388,0.9236052159781682
LGB,25,0.963855421686747,0.9638632451885464,0.963855421686747,0.9637041648001956,0.9637581692081981,0.9201867797761193
LDA,25,0.9759036144578314,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LR,25,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9469987228607918
GNB,25,0.9518072289156626,0.9551308683007894,0.9518072289156626,0.9508828966660291,0.9508542010876243,0.8958883487425228
RF,25,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8939974457215837
LGB,26,0.927710843373494,0.9275482496788774,0.927710843373494,0.9270175941862687,0.9272910193591821,0.8366862110930773
LDA,26,0.9759036144578314,0.9767491016698373,0.9759036144578314,0.9756725313954229,0.9756590322993434,0.9465674698284022
LR,26,0.9879518072289156,0.9881669535283992,0.9879518072289156,0.9878965493423325,0.9878911956867192,0.9731733281027651
GNB,26,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8922077922077922
RF,26,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.9518072289156626,0.8922077922077922
LGB,27,0.9390243902439024,0.9398257613025058,0.9390243902439024,0.939274331257823,0.9390877306700774,0.8658867656593533
LDA,27,0.9390243902439024,0.938786236347212,0.9390243902439024,0.9387497711507556,0.9388777341010819,0.8635652420207802
