model,accuracy,precision,recall,f1,f2,mcc
GNB,0.8349358974358975,0.8595833333333333,0.84,0.836847290640394,0.8358359133126935,0.6972246696929836
RF,0.8958333333333333,0.9161290322580646,0.9,0.8985720114239086,0.8972624798711755,0.8148487556741164
SVM,0.8541666666666667,0.8896969696969697,0.86,0.8563538652335676,0.8544926038369612,0.7470480627649122
LGB,0.961352657004831,0.9608653846153845,0.96,0.9600481734243276,0.959926659804426,0.9204846000462656
LDA,0.9166666666666667,0.9247272727272727,0.91,0.90991899189919,0.9081950656470927,0.8348471099367218
LR,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
GNB,0.9009661835748792,0.9009615384615384,0.9,0.900120433560819,0.8999613998970664,0.800002322553299
RF,0.9537037037037037,0.9549019607843138,0.95,0.9500750675608047,0.9494580489763148,0.9046799969476884
SVM,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LGB,0.8635265700483092,0.8760907944514503,0.87,0.8686035805626598,0.8684123617878938,0.7429245830592095
LDA,0.8695652173913043,0.9018181818181819,0.88,0.877,0.8757368729260199,0.777652289268123
LR,0.9239130434782609,0.9380327868852458,0.93,0.9292480818414321,0.9285959430800861,0.8663339822384801
GNB,0.8727858293075684,0.8886926994906621,0.88,0.878423645320197,0.8780089441959944,0.7655570205274012
RF,0.8804347826086957,0.9086153846153846,0.89,0.8876148978109762,0.886441118640212,0.7950515853775597
SVM,0.8478260869565217,0.8888235294117647,0.86,0.8554686843211434,0.8541210224308816,0.7432561251138006
LGB,0.8681472589035615,0.8819999999999999,0.87,0.868697236562405,0.8677869799691834,0.7513271349100387
LDA,0.8673469387755102,0.89640625,0.87,0.8674066496163684,0.8654336078229542,0.7651530459153053
LR,0.9183673469387755,0.9308474576271186,0.92,0.9193535353535353,0.9183263544624666,0.8504581954248784
GNB,0.8269307723089235,0.8619518716577539,0.83,0.8255359901143033,0.8237439613526569,0.6900133571989716
RF,0.8681472589035615,0.8819999999999999,0.87,0.868697236562405,0.8677869799691834,0.7513271349100387
SVM,0.8579431772709083,0.8745439260193357,0.86,0.8582954545454545,0.857254114813328,0.7337193818233686
LGB,0.925,0.9454545454545454,0.94,0.938996138996139,0.9387507580351729,0.8790490729915326
LDA,0.8875,0.9217391304347825,0.91,0.9074353095316081,0.9071316016875922,0.8209220690651828
LR,0.9375,0.9538461538461539,0.95,0.9493333333333334,0.9491382934005884,0.8987170342729172
GNB,0.875,0.9142857142857141,0.9,0.8967032967032966,0.8964346349745331,0.8017837257372731
RF,0.9,0.9294117647058823,0.92,0.9180555555555556,0.9177489177489179,0.840168050416806
SVM,0.9125,0.9373134328358209,0.93,0.928572969474706,0.9282881301581408,0.8595382307665282
LGB,0.9439935064935066,0.943397435897436,0.94,0.9401932367149758,0.9397127329192547,0.8822764263393829
LDA,0.9375,0.939607843137255,0.93,0.9302456140350877,0.9289958206257765,0.8688509427884128
LR,0.9910714285714286,0.9902222222222221,0.99,0.9900111347302359,0.9899803759386302,0.9799578870122228
GNB,0.9058441558441559,0.9072,0.9,0.9003613006824568,0.8993605064272334,0.8058229640253803
RF,0.9375,0.939607843137255,0.93,0.9302456140350877,0.9289958206257765,0.8688509427884128
SVM,0.9107142857142857,0.9185185185185185,0.9,0.9002000800320127,0.8979066022544283,0.8181150098318508
LGB,0.8637110016420362,0.887415329768271,0.88,0.8775551782682512,0.8776397102797528,0.7579030403924275
LDA,0.8333333333333333,0.8872222222222222,0.86,0.8535384615384615,0.8532894736842106,0.7328281087929399
LR,0.9523809523809523,0.9625806451612903,0.96,0.9596666666666667,0.959487484314114,0.9199946570338408
GNB,0.7783251231527094,0.8064338235294117,0.8,0.7944229944229945,0.7958333333333334,0.588967868233615
RF,0.8842364532019704,0.9085561497326203,0.9,0.8979626485568761,0.8977672935078743,0.8006740923333093
SVM,0.8604269293924467,0.8930514705882353,0.88,0.8766537966537966,0.8765000000000001,0.762704702520817
LGB,0.9041867954911433,0.9067307692307692,0.9,0.9001200480192076,0.8992681047765794,0.8064280440195906
LDA,0.8703703703703703,0.8926666666666666,0.86,0.8588197511039743,0.8554815573770491,0.7535922203472519
LR,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
GNB,0.8780193236714976,0.8905997552019584,0.87,0.8695706135521971,0.8672984187507009,0.7611112416717819
RF,0.9259259259259259,0.9318518518518519,0.92,0.92,0.9185836166527679,0.8518518518518519
SVM,0.8796296296296297,0.8986440677966101,0.87,0.8691528822055138,0.8661302461129526,0.7693925176411155
LGB,0.9014423076923077,0.9028846153846155,0.9,0.9,0.8996542008196721,0.8028846153846154
LDA,0.8653846153846154,0.8916129032258064,0.86,0.858020202020202,0.8551693233467768,0.7521680821607228
LR,0.9519230769230769,0.9547169811320755,0.95,0.9499749974997499,0.9494197679071629,0.9047528108640106
GNB,0.8830128205128205,0.8906493506493507,0.88,0.8796153846153846,0.8784946236559139,0.7709837875506855
RF,0.8830128205128205,0.8906493506493507,0.88,0.8796153846153846,0.8784946236559139,0.7709837875506855
SVM,0.9022435897435898,0.9062801932367149,0.9,0.8998799519807923,0.8991741885922795,0.8064280440195906
LGB,0.94,0.9407051282051282,0.94,0.9399759903961583,0.9399001536098309,0.8807048459279792
LDA,0.9099999999999999,0.9237288135593221,0.91,0.9092650468797259,0.9079366859449846,0.8336157713463008
LR,0.9199999999999999,0.9310344827586207,0.92,0.9194847020933977,0.9183804215516689,0.8509629433967631
GNB,0.8899999999999999,0.8939393939393939,0.89,0.8897243107769424,0.8893557422969187,0.7839294959021854
RF,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
SVM,0.9099999999999999,0.9237288135593221,0.91,0.9092650468797259,0.9079366859449846,0.8336157713463008
