model,accuracy,precision,recall,f1,f2,mcc
GNB,0.8522727272727273,0.8645454545454545,0.84,0.84,0.8370818322182193,0.7045454545454546
RF,0.9082792207792207,0.912179487179487,0.9,0.9003205128205128,0.8987358101135192,0.8113072074016628
SVM,0.8636363636363636,0.8789065687474499,0.85,0.8498049804980498,0.8464580218932344,0.7291988884242225
LGB,0.8774038461538461,0.8850246305418719,0.88,0.8792727272727273,0.8789473684210526,0.7640468084992375
LDA,0.8333333333333333,0.8776470588235294,0.84,0.8346666666666667,0.8327122153209109,0.7140055472954167
LR,0.90625,0.92327868852459,0.91,0.9089288983826671,0.9077970356780765,0.8322397195638238
GNB,0.875,0.9025,0.88,0.8776354679802956,0.8760061919504645,0.7806247497997998
RF,0.8854166666666667,0.9092063492063491,0.89,0.8881432225063938,0.8866659146940815,0.7976486609049038
SVM,0.875,0.9025,0.88,0.8776354679802956,0.8760061919504645,0.7806247497997998
LGB,0.9428341384863124,0.9431999999999999,0.94,0.9400961538461539,0.9396761133603239,0.8828295892956407
LDA,0.9166666666666667,0.9247272727272727,0.91,0.90991899189919,0.9081950656470927,0.8348471099367218
LR,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
GNB,0.9134460547504026,0.9148219287715085,0.91,0.9101351216094485,0.9095062224006424,0.8244067052930577
RF,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
SVM,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
LGB,0.8743961352657005,0.8845000000000001,0.88,0.8789718482252141,0.8788237577639751,0.7617834401336351
LDA,0.8478260869565217,0.8888235294117647,0.86,0.8554686843211434,0.8541210224308816,0.7432561251138006
LR,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
GNB,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
RF,0.9021739130434783,0.9228571428571428,0.91,0.9085820203892493,0.9076485184644576,0.8303258359155277
SVM,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
LGB,0.8885554221688676,0.8975287356321838,0.89,0.8893013408609738,0.888673102828918,0.7870955472719021
LDA,0.8273309323729492,0.8532465277777778,0.83,0.8266086956521739,0.8252830674215131,0.6818030409136381
LR,0.8979591836734694,0.9163934426229509,0.9,0.8987824675324674,0.8973504616619832,0.8157450254033987
GNB,0.8787515006002401,0.8852876376988985,0.88,0.8794202898550725,0.8790073582455633,0.7648844472032642
RF,0.8681472589035615,0.8819999999999999,0.87,0.868697236562405,0.8677869799691834,0.7513271349100387
SVM,0.8681472589035615,0.8819999999999999,0.87,0.868697236562405,0.8677869799691834,0.7513271349100387
LGB,0.9125,0.9373134328358209,0.93,0.928572969474706,0.9282881301581408,0.8595382307665282
LDA,0.8875,0.9217391304347825,0.91,0.9074353095316081,0.9071316016875922,0.8209220690651828
LR,0.9375,0.9538461538461539,0.95,0.9493333333333334,0.9491382934005884,0.8987170342729172
GNB,0.9125,0.9373134328358209,0.93,0.928572969474706,0.9282881301581408,0.8595382307665282
