model,accuracy,precision,recall,f1,f2,mcc
SVM,0.9555555555555555,0.9627118644067797,0.96,0.9597715218278253,0.9595355098201398,0.9215969109594601
LGB,0.8522681653954236,0.8805714285714287,0.86,0.8568747416287722,0.8557688883132861,0.7372241553160819
LDA,0.8617021276595744,0.8956060606060606,0.87,0.8666687415707024,0.8651257372480393,0.7621781539524384
LR,0.9042553191489362,0.9230645161290323,0.91,0.9087570332480819,0.9077239842387442,0.8313520258007555
GNB,0.8948213568847851,0.9097519966372425,0.9,0.8988576091391269,0.8981539752464863,0.8080165852327799
RF,0.8629064632677639,0.8875694444444444,0.87,0.8674966532797858,0.8664628623188406,0.7546930055516442
SVM,0.8853873946206343,0.8969999999999999,0.89,0.8889817922896959,0.8885416666666667,0.7852514446933637
LGB,0.911525974025974,0.9251952461799661,0.92,0.919107069036792,0.9188353702372393,0.8417050946262346
LDA,0.9318181818181819,0.9458064516129032,0.94,0.939330301777594,0.9389059538592249,0.8832092906137214
LR,0.9456168831168831,0.9513021909880115,0.95,0.949769820971867,0.9496995652244712,0.8994852578458399
GNB,0.9228896103896104,0.933635981504834,0.93,0.9293872927607868,0.929188086495308,0.8607561648500722
RF,0.9001623376623377,0.9169969969969969,0.91,0.9087581699346404,0.9084163517691515,0.8228400503708603
SVM,0.9569805194805194,0.9605582922824303,0.96,0.9598857609139128,0.9598607586700502,0.9191986809173013
LGB,0.8939393939393939,0.895,0.89,0.8902756892230577,0.8895732689210949,0.7839294959021854
LDA,0.9090909090909092,0.9181818181818181,0.9,0.9,0.897832195905259,0.8181818181818182
LR,0.9252525252525252,0.9270108043217288,0.92,0.9201923076923078,0.9192777482740309,0.8464111396077874
GNB,0.8939393939393939,0.895,0.89,0.8902756892230577,0.8895732689210949,0.7839294959021854
RF,0.8939393939393939,0.895,0.89,0.8902756892230577,0.8895732689210949,0.7839294959021854
SVM,0.9343434343434343,0.935,0.93,0.9301754385964912,0.9295088566827698,0.8643325211229224
LGB,0.9113645458183273,0.918409090909091,0.91,0.9096842105263159,0.9088037634408601,0.8285517339392285
LDA,0.9117647058823529,0.9239655172413793,0.91,0.9094302080192945,0.9080036489341271,0.8341105233190393
LR,0.9113645458183273,0.918409090909091,0.91,0.9096842105263159,0.9088037634408601,0.8285517339392285
GNB,0.8721488595438175,0.8892500000000001,0.87,0.8687024901703801,0.8669569672131148,0.7594937342025391
RF,0.9113645458183273,0.918409090909091,0.91,0.9096842105263159,0.9088037634408601,0.8285517339392285
SVM,0.940376150460184,0.940752300920368,0.94,0.94,0.9399097470035684,0.8807523009203682
LGB,0.8636363636363636,0.8789065687474499,0.85,0.8498049804980498,0.8464580218932344,0.7291988884242225
LDA,0.9285714285714286,0.9323076923076923,0.92,0.9202564102564103,0.9186790505675954,0.8516306272526402
LR,0.9375,0.939607843137255,0.93,0.9302456140350877,0.9289958206257765,0.8688509427884128
GNB,0.8725649350649352,0.8851298701298701,0.86,0.86,0.8570123520329388,0.7451298701298701
RF,0.8636363636363636,0.8789065687474499,0.85,0.8498049804980498,0.8464580218932344,0.7291988884242225
SVM,0.9375,0.939607843137255,0.93,0.9302456140350877,0.9289958206257765,0.8688509427884128
LGB,0.90625,0.92327868852459,0.91,0.9089288983826671,0.9077970356780765,0.8322397195638238
LDA,0.8958333333333333,0.9161290322580646,0.9,0.8985720114239086,0.8972624798711755,0.8148487556741164
LR,0.9278846153846154,0.9341003671970625,0.93,0.9296824276640792,0.929313528703332,0.8635893984362144
GNB,0.8958333333333333,0.9161290322580646,0.9,0.8985720114239086,0.8972624798711755,0.8148487556741164
RF,0.9166666666666667,0.9306666666666666,0.92,0.9192207792207792,0.9182707153885744,0.8498365855987975
SVM,0.9278846153846154,0.9341003671970625,0.93,0.9296824276640792,0.929313528703332,0.8635893984362144
LGB,0.9722222222222222,0.9718367346938775,0.97,0.9700451127819548,0.9698075902975358,0.9416057111088185
LDA,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
