model,fold,accuracy,precision,recall,f1,f2,mcc
GNB,7,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
RF,7,1.0,1.0,1.0,1.0,1.0,1.0
SVM,7,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LGB,8,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LDA,8,1.0,1.0,1.0,1.0,1.0,1.0
LR,8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
GNB,8,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,8,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
SVM,8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LGB,9,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LDA,9,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,9,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,9,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
RF,9,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
SVM,9,0.9464285714285714,0.9516129032258064,0.9464285714285714,0.9462743843939878,0.9457148690725334,0.8980265101338745
LGB,10,0.9125615763546798,0.9128424509549737,0.9122807017543859,0.9122807017543859,0.9122133051304384,0.8251231527093597
LDA,10,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
LR,10,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
GNB,10,0.9125615763546798,0.9128424509549737,0.9122807017543859,0.9122807017543859,0.9122133051304384,0.8251231527093597
RF,10,0.8947044334975369,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.7894088669950738
SVM,10,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LGB,11,0.9476600985221675,0.9479517759917033,0.9473684210526315,0.9473684210526315,0.9472984322508399,0.895320197044335
LDA,11,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
LR,11,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
GNB,11,0.8786945812807883,0.8894869750132909,0.8771929824561403,0.8764332730992345,0.8752700717310518,0.7668925350545774
RF,11,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
SVM,11,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
LGB,12,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LDA,12,1.0,1.0,1.0,1.0,1.0,1.0
LR,12,1.0,1.0,1.0,1.0,1.0,1.0
GNB,12,0.9464285714285714,0.9516129032258064,0.9464285714285714,0.9462743843939878,0.9457148690725334,0.8980265101338745
RF,12,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
SVM,12,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LGB,13,1.0,1.0,1.0,1.0,1.0,1.0
LDA,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,13,1.0,1.0,1.0,1.0,1.0,1.0
GNB,13,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,13,1.0,1.0,1.0,1.0,1.0,1.0
SVM,13,1.0,1.0,1.0,1.0,1.0,1.0
LGB,14,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,14,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,14,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,14,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,14,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
SVM,14,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LGB,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LDA,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LR,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
GNB,15,0.9285714285714286,0.9383306751727805,0.9298245614035088,0.9293892298985679,0.9285501554913735,0.8678978933300583
RF,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
SVM,15,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LGB,16,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LDA,16,0.9655172413793103,0.9672514619883041,0.9649122807017544,0.9648906749632703,0.9646185294813909,0.932183199398798
LR,16,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
GNB,16,0.9304187192118227,0.9320337881741391,0.9298245614035088,0.9297813499265406,0.9295325381315002,0.8618995454758728
RF,16,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
SVM,16,0.9827586206896552,0.9830611010284331,0.9824561403508771,0.9824561403508771,0.9823835593712413,0.9655172413793104
LGB,17,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LDA,17,0.9464285714285714,0.9516129032258064,0.9464285714285714,0.9462743843939878,0.9457148690725334,0.8980265101338745
LR,17,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
GNB,17,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
RF,17,1.0,1.0,1.0,1.0,1.0,1.0
SVM,17,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LGB,18,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LDA,18,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LR,18,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,18,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
RF,18,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
SVM,18,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LGB,19,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,19,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LR,19,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,19,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
RF,19,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
SVM,19,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LGB,20,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
LDA,20,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
LR,20,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
GNB,20,0.9649014778325123,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9298029556650246
RF,20,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
SVM,20,0.9131773399014778,0.9170475817334901,0.9122807017543859,0.9121185089070906,0.9116093938184375,0.8294247387229817
LGB,21,0.9642857142857143,0.9671760045274476,0.9649122807017544,0.9648473034437947,0.9646009433521692,0.9320212414264206
LDA,21,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
LR,21,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
GNB,21,0.9298029556650247,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.8596059113300493
RF,21,0.9821428571428572,0.9830409356725146,0.9824561403508771,0.982445327494391,0.9823792011812323,0.9654754565201837
SVM,21,0.9827586206896552,0.9830611010284331,0.9824561403508771,0.9824561403508771,0.9823835593712413,0.9655172413793104
LGB,22,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
LDA,22,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LR,22,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,22,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571
RF,22,0.8928571428571428,0.8948717948717949,0.8928571428571429,0.89272030651341,0.8925290875688915,0.7877263614433762
SVM,22,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LGB,23,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,23,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LR,23,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
GNB,23,0.9285714285714286,0.9307692307692308,0.9285714285714286,0.9284802043422733,0.928250663400694,0.8593378488473195
RF,23,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
SVM,23,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LGB,24,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LDA,24,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
LR,24,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
GNB,24,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
RF,24,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
SVM,24,0.9107142857142858,0.9112388250319287,0.9107142857142857,0.9106858054226475,0.9106331955712026,0.8219529433756427
