model,accuracy,precision,recall,f1,f2,mcc
SVM,0.9199507389162561,0.9334105534105536,0.93,0.9292310911183178,0.9291194708557255,0.8586098188086737
LGB,0.9025764895330113,0.9031999999999999,0.9,0.9001602564102563,0.899717241822505,0.8025723539051279
LR,0.9722222222222222,0.9718367346938775,0.97,0.9700451127819548,0.9698075902975358,0.9416057111088185
RF,0.8965378421900161,0.9043636363636364,0.89,0.8899009900990099,0.8882268070985428,0.7945163316789092
SVM,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LGB,0.8918269230769231,0.8943556804496187,0.89,0.88994499449945,0.8894437775110045,0.7844399370789028
LR,0.9903846153846154,0.990204081632653,0.99,0.9900030027024322,0.9899774107242988,0.9801803569660552
RF,0.8733974358974359,0.8831823745410037,0.87,0.8694135338345865,0.8680746891950273,0.753619212867558
SVM,0.9599358974358975,0.96,0.96,0.96,0.96,0.9198717948717948
LGB,0.92,0.92,0.92,0.92,0.92,0.84
LR,0.96,0.962962962962963,0.96,0.9599358974358975,0.9596056590487165,0.9229582069908971
RF,0.9299999999999999,0.9315535929345645,0.93,0.9299369432489241,0.9297738874397914,0.8615521921784256
SVM,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
LGB,0.9102254428341385,0.9103091128061019,0.91,0.9100633102200782,0.9100033795201082,0.8192972934135451
LR,0.9722222222222222,0.9718367346938775,0.97,0.9700451127819548,0.9698075902975358,0.9416057111088185
RF,0.9243156199677939,0.926826923076923,0.92,0.920096038415366,0.9192411402157166,0.8465888031839128
SVM,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LGB,0.8908045977011494,0.9013582342954161,0.9,0.8991666666666666,0.8993131233075755,0.7947685240437535
LR,0.9880952380952381,0.9901694915254237,0.99,0.9899824940788795,0.9899685953402719,0.9796146563313108
RF,0.8399014778325123,0.8713970588235295,0.86,0.856096096096096,0.8563333333333333,0.7192704939490165
SVM,0.8994252873563219,0.9128528528528528,0.91,0.9090114028664087,0.9090450599421248,0.8166445295218372
LGB,0.89,0.9030591153369162,0.89,0.8891017239641092,0.8879107323090726,0.7929515873781886
LR,0.98,0.9807692307692308,0.98,0.9799919967987194,0.9799027137736815,0.9607689228305227
RF,0.88,0.9032258064516128,0.88,0.8782467532467533,0.8762589005067676,0.7828813612588127
SVM,0.96,0.962962962962963,0.96,0.9599358974358975,0.9596056590487165,0.9229582069908971
LGB,0.8655158570855079,0.8764014687882496,0.86,0.8594391025641025,0.8577110844337735,0.7369727441253214
LR,0.9716981132075472,0.9718000000000001,0.97,0.9700270243218898,0.9698008210917957,0.9416965821485117
RF,0.8384183059012444,0.8647623089983023,0.83,0.8276862586954331,0.8246000000000001,0.6959580513903048
SVM,0.9421918908069049,0.9431052420968388,0.94,0.940048019207683,0.9396575770692059,0.8829670665966918
LGB,0.8868760064412238,0.8908935128518971,0.89,0.8896325539022168,0.8896596795275209,0.7789434539367225
LR,0.9565217391304348,0.9627586206896552,0.96,0.9598051948051949,0.9595504166397519,0.9219950989667682
RF,0.8325281803542672,0.8470628183361629,0.84,0.8378981937602628,0.8378637630436191,0.6828834761939885
SVM,0.9146537842190017,0.9255,0.92,0.9193145654834761,0.9189246894409939,0.8436956379974668
LGB,0.9070048309178744,0.9110648714810281,0.91,0.9096993622836319,0.9096819480079392,0.8194712090843147
LR,0.9782608695652174,0.9807142857142856,0.98,0.9799595959595959,0.9798890608875129,0.9603958811069554
RF,0.8619162640901772,0.8808494208494209,0.87,0.8679518072289156,0.8674792001167713,0.747210136624684
SVM,0.9456521739130435,0.9542372881355932,0.95,0.9496694130810701,0.9492929292929293,0.9031999120134834
LGB,0.923323966278603,0.926647932557206,0.92,0.92,0.9192040884986943,0.8466479325572059
LR,0.9905660377358491,0.9902083333333332,0.99,0.9900050125313282,0.9899781715459681,0.9801488784360114
RF,0.9056603773584906,0.9175438596491228,0.9,0.8995993589743592,0.8976790716286515,0.8179142865882891
SVM,0.9528301886792453,0.9548076923076922,0.95,0.9500250025002501,0.9494391025641025,0.9047528108640106
LGB,0.8961038961038961,0.9001642036124795,0.9,0.8997144022847817,0.8997982952696987,0.7967477021094902
LR,0.9772727272727273,0.9806896551724138,0.98,0.9799428804569564,0.9798815798035005,0.9600156738532383
RF,0.9025974025974026,0.9131736023539303,0.91,0.909212233549583,0.9091309669522643,0.8194530859225256
SVM,0.9366883116883117,0.9404269293924465,0.94,0.939828641370869,0.9398399375365998,0.8783816879813642
LGB,0.8714810281517749,0.8783861902850262,0.86,0.8605608974358975,0.8581414141414142,0.7369727441253214
LR,0.9736842105263157,0.9719565217391305,0.97,0.9701002125721228,0.9698272496584033,0.9410544745270913
