model,accuracy,precision,recall,f1,f2,mcc
LR,0.9642857142857143,0.9633333333333333,0.96,0.9601288244766505,0.959679089026915,0.9225998461903602
GNB,0.890422077922078,0.8981964573268921,0.88,0.8802400960384154,0.8779710144927537,0.7776943077650598
RF,0.9326298701298701,0.932059413890004,0.93,0.9301905434015526,0.9298732414887246,0.8605576800937125
SVM,0.9285714285714286,0.9323076923076923,0.92,0.9202564102564103,0.9186790505675954,0.8516306272526402
LGB,0.890224358974359,0.8902440976390557,0.89,0.8900330297267541,0.8899918294109166,0.7799801206576289
LDA,0.8774038461538461,0.8850246305418719,0.88,0.8792727272727273,0.8789473684210526,0.7640468084992375
LR,0.9591346153846154,0.9606763285024155,0.96,0.9599518265756725,0.9598883828340496,0.9204846000462656
GNB,0.8862179487179487,0.9024464060529634,0.89,0.8886908758010376,0.8877419977791726,0.7912022580468699
RF,0.8798076923076923,0.88,0.88,0.88,0.88,0.7596153846153846
SVM,0.9166666666666667,0.9306666666666666,0.92,0.9192207792207792,0.9182707153885744,0.8498365855987975
LGB,0.9070048309178744,0.9110648714810281,0.91,0.9096993622836319,0.9096819480079392,0.8194712090843147
LDA,0.9227053140096618,0.9231999999999999,0.92,0.9201282051282051,0.9196966775914145,0.8427009716003844
LR,0.9690016103059582,0.9701414141414142,0.97,0.969972779514064,0.9699656778227171,0.9397071334070347
GNB,0.9504830917874396,0.9502609393817744,0.95,0.950035172344488,0.9499911488759074,0.8996993830517732
RF,0.8961352657004831,0.9019704433497537,0.9,0.899512987012987,0.899457399392804,0.8000380752939152
SVM,0.9537037037037037,0.9549019607843138,0.95,0.9500750675608047,0.9494580489763148,0.9046799969476884
LGB,0.8482286634460547,0.8498989898989899,0.85,0.8498638975703195,0.8499250713031148,0.6977224638601588
LDA,0.9303542673107891,0.9302850260939383,0.93,0.9300492412822831,0.9299972641980077,0.8594983382326592
LR,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
GNB,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
RF,0.8776167471819646,0.8802272727272729,0.88,0.8797575757575757,0.8798181114551085,0.7582923707730002
SVM,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
LGB,0.9097639055622249,0.9101282051282051,0.91,0.9099729756781103,0.9099673411885246,0.8200201679193142
LDA,0.8791516606642658,0.8822626262626262,0.88,0.8797109594540344,0.8795462919944248,0.7619710734236376
LR,0.9591836734693877,0.9629090909090908,0.96,0.9599036531513448,0.9595924317916018,0.9228092947267801
GNB,0.8885554221688676,0.8975287356321838,0.89,0.8893013408609738,0.888673102828918,0.7870955472719021
RF,0.930172068827531,0.9302000000000001,0.93,0.9300070007000701,0.9299804750016004,0.8601720516172061
SVM,0.9183673469387755,0.9308474576271186,0.92,0.9193535353535353,0.9183263544624666,0.8504581954248784
LGB,0.8958333333333333,0.9,0.9,0.9,0.9,0.7916666666666666
LDA,0.9291666666666667,0.9420138888888888,0.94,0.9393887945670627,0.9393796992481203,0.876032789953706
LR,0.9375,0.94,0.94,0.94,0.94,0.875
GNB,0.8875,0.9010416666666665,0.9,0.8989813242784379,0.8992346938775511,0.7909810627737345
RF,0.8916666666666666,0.8998302207130731,0.9,0.8995376208490964,0.8997257341628202,0.7906141545466745
SVM,0.95,0.9625,0.96,0.9595925297113752,0.9594522019334051,0.9185586535436917
LGB,0.9301948051948052,0.9303434343434344,0.93,0.930077943111651,0.9300085956632447,0.8584755043247572
LDA,0.950487012987013,0.9503030303030303,0.95,0.9500556736511793,0.9499991890883731,0.8989696318872457
LR,0.9886363636363636,0.9901754385964913,0.99,0.9899867765232429,0.9899705877573571,0.979861006320049
GNB,0.9439935064935066,0.943397435897436,0.94,0.9401932367149758,0.9397127329192547,0.8822764263393829
RF,0.9074675324675325,0.9099469604243166,0.91,0.9098809887091852,0.9099302881099791,0.8170933972967851
SVM,0.9910714285714286,0.9902222222222221,0.99,0.9900111347302359,0.9899803759386302,0.9799578870122228
LGB,0.8801313628899836,0.881396103896104,0.88,0.8803427172582619,0.8800511006289308,0.7559307091735532
LDA,0.9113300492610837,0.9217657045840407,0.92,0.9193333333333333,0.9193712436430883,0.8365105683737826
LR,0.9556650246305418,0.9604999999999998,0.96,0.9598511781727987,0.9598458904109589,0.9181395839231106
